xgboost_id,name,nfolds,seed,solver,kc_val_mo,kc_val_pr,fold_assignment,ntrees,max_runtime_secs,stopping_rounds,stopping_metric,stopping_tolerance,max_depth,learn_rate,min_rows,sample_rate,col_sam_rate,col_sam_r_per_tree,score_tree_interval
1,XGBoost_1_AutoML_20190418_132524,5,5.92E+18,,FALSE,TRUE,Modulo,197,8,3,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
2,XGBoost_1_AutoML_20190418_135050,5,7.23E+18,,FALSE,TRUE,Modulo,127,53,3,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
3,XGBoost_1_AutoML_20190418_140346,5,-8.19E+18,,FALSE,TRUE,Modulo,119,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
4,XGBoost_1_AutoML_20190418_142243,5,5.25E+18,,FALSE,TRUE,Modulo,120,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
5,XGBoost_1_AutoML_20190418_144229,5,3.54E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
6,XGBoost_1_AutoML_20190418_150256,5,8.50E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
7,XGBoost_2_AutoML_20190418_135050,5,7.23E+18,,FALSE,TRUE,Modulo,127,53,3,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
8,XGBoost_2_AutoML_20190418_140346,5,-8.19E+18,,FALSE,TRUE,Modulo,119,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
9,XGBoost_2_AutoML_20190418_142243,5,5.25E+18,,FALSE,TRUE,Modulo,120,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
10,XGBoost_2_AutoML_20190418_144229,5,3.54E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
11,XGBoost_2_AutoML_20190418_150256,5,8.50E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
12,XGBoost_3_AutoML_20190418_140346,5,-8.19E+18,,FALSE,TRUE,Modulo,119,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
13,XGBoost_3_AutoML_20190418_142243,5,5.25E+18,,FALSE,TRUE,Modulo,120,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
14,XGBoost_3_AutoML_20190418_144229,5,3.54E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
15,XGBoost_3_AutoML_20190418_150256,5,8.50E+18,,FALSE,TRUE,Modulo,121,0,0,deviance,0.008312003,20,0.05,10,0.6,0.8,0.8,5
16,XGBoost_grid_1_AutoML_20190418_140346_model_1,5,5.92E+18,,FALSE,TRUE,Modulo,152,0,0,deviance,0.008312003,10,0.05,10,0.8,0.6,0.9,5
17,XGBoost_grid_1_AutoML_20190418_140346_model_2,5,-4.21E+18,,FALSE,TRUE,Modulo,13,0,0,deviance,0.008312003,15,0.05,10,0.8,1,1,5
18,XGBoost_grid_1_AutoML_20190418_142243_model_1,5,-4.38E+18,,FALSE,TRUE,Modulo,203,0,0,deviance,0.008312003,5,0.05,20,0.6,0.8,0.9,5
19,XGBoost_grid_1_AutoML_20190418_142243_model_2,5,1.51E+18,,FALSE,TRUE,Modulo,110,0,0,deviance,0.008312003,15,0.05,1,0.6,0.6,0.7,5
20,XGBoost_grid_1_AutoML_20190418_142243_model_3,5,-6.16E+17,,FALSE,TRUE,Modulo,20,0,0,deviance,0.008312003,15,0.05,0.1,1,0.8,0.9,5
21,XGBoost_grid_1_AutoML_20190418_144229_model_1,5,3.56E+18,,FALSE,TRUE,Modulo,145,0,0,deviance,0.008312003,15,0.05,1,1,0.8,0.8,5
22,XGBoost_grid_1_AutoML_20190418_144229_model_2,5,-7.79E+17,,FALSE,TRUE,Modulo,276,0,0,deviance,0.008312003,5,0.05,5,1,1,0.7,5
23,XGBoost_grid_1_AutoML_20190418_144229_model_3,5,-6.51E+18,,FALSE,TRUE,Modulo,79,0,0,deviance,0.008312003,5,0.05,3,0.6,1,0.7,5
24,XGBoost_grid_1_AutoML_20190418_144229_model_4,5,-1.97E+18,,FALSE,TRUE,Modulo,60,0,0,deviance,0.008312003,5,0.05,0.01,0.8,0.6,0.9,5
25,XGBoost_grid_1_AutoML_20190418_150256_model_1,5,-4.00E+18,,FALSE,TRUE,Modulo,161,0,0,deviance,0.008312003,5,0.05,1,1,0.6,0.9,5
26,XGBoost_grid_1_AutoML_20190418_150256_model_2,5,9.43E+17,,FALSE,TRUE,Modulo,172,0,0,deviance,0.008312003,20,0.05,10,0.8,0.6,0.7,5
27,XGBoost_grid_1_AutoML_20190418_150256_model_3,5,-1.40E+17,,FALSE,TRUE,Modulo,98,0,0,deviance,0.008312003,10,0.05,5,1,1,1,5
28,XGBoost_grid_1_AutoML_20190418_150256_model_4,5,-6.57E+18,,FALSE,TRUE,Modulo,98,0,0,deviance,0.008312003,15,0.05,20,0.8,0.6,0.8,5
29,XGBoost_grid_1_AutoML_20190418_150256_model_5,5,4.40E+18,,FALSE,TRUE,Modulo,92,0,0,deviance,0.008312003,20,0.05,10,0.6,0.6,0.7,5
