model_id,running_time,mean_residual_deviance,rmse,mse,mae,rmsle,data_id
DRF_1_AutoML_20190418_132524,333,0.255271906,0.505244402,0.255271906,0.232562597,0.101529516,1
DRF_1_AutoML_20190418_135050,500,0.256428109,0.506387312,0.256428109,0.233797927,0.103825595,1
DRF_1_AutoML_20190418_140346,700,0.251937541,0.501933801,0.251937541,0.228843968,0.101845848,1
DRF_1_AutoML_20190418_142243,1000,0.25924281,0.509158924,0.25924281,0.23236862,0.103383494,1
DRF_1_AutoML_20190418_144229,1300,0.256004859,0.505969227,0.256004859,0.230250577,0.10259729,1
DRF_1_AutoML_20190418_150256,1500,0.255665154,0.505633418,0.255665154,0.23242584,0.102275894,1
GBM_1_AutoML_20190418_140346,333,0.268110528,0.517793904,0.268110528,0.238679019,0.10580417,1
GBM_1_AutoML_20190418_142243,333,0.259711385,0.509618863,0.259711385,0.233978505,0.102367053,1
GBM_1_AutoML_20190418_144229,333,0.263735862,0.5135522,0.263735862,0.246926711,0.102002215,1
GBM_1_AutoML_20190418_150256,333,0.253555673,0.503543119,0.253555673,0.234886095,0.100699325,1
GBM_2_AutoML_20190418_140346,500,0.26029378,0.510189945,0.26029378,0.237668677,0.102397273,1
GBM_2_AutoML_20190418_142243,500,0.264525755,0.514320673,0.264525755,0.236501196,0.105835195,1
GBM_2_AutoML_20190418_144229,500,0.262765677,0.512606747,0.262765677,0.242354018,0.1061279,1
GBM_2_AutoML_20190418_150256,500,0.265517809,0.515284202,0.265517809,0.237942331,0.105820305,1
GBM_3_AutoML_20190418_140346,700,0.256450708,0.506409624,0.256450708,0.236885495,0.100428295,1
GBM_3_AutoML_20190418_142243,700,0.263423565,0.513248054,0.263423565,0.23949773,0.106654941,1
GBM_3_AutoML_20190418_144229,700,0.261826295,0.511689647,0.261826295,0.238466595,0.106211186,1
GBM_3_AutoML_20190418_150256,700,0.264430946,0.514228496,0.264430946,0.240938133,0.102925579,1
GBM_4_AutoML_20190418_140346,1000,0.262733063,0.512574934,0.262733063,0.249250238,0.104112564,1
GBM_4_AutoML_20190418_142243,1000,0.258059377,0.50799545,0.258059377,0.248249161,0.102371645,1
GBM_4_AutoML_20190418_144229,1000,0.260774833,0.510661172,0.260774833,0.249758533,0.101220722,1
GBM_4_AutoML_20190418_150256,1000,0.255629427,0.505598088,0.255629427,0.235284106,0.102236725,1
GBM_5_AutoML_20190418_140346,1500,0.26735585,0.517064648,0.26735585,0.250942396,0.112768198,1
GBM_5_AutoML_20190418_142243,1500,0.263775345,0.51359064,0.263775345,0.244198256,0.11323968,1
GBM_5_AutoML_20190418_144229,1500,0.264057218,0.51386498,0.264057218,0.252949969,0.11028198,1
GBM_5_AutoML_20190418_150256,1500,0.262874939,0.51271331,0.262874939,0.248224693,0.109725146,1
GBM_grid_1_AutoML_20190418_140346_model_1,333,0.263755142,0.513570971,0.263755142,0.242996547,0.109491758,1
GBM_grid_1_AutoML_20190418_140346_model_2,500,0.344006178,0.586520398,0.344006178,0.298679821,,1
GBM_grid_1_AutoML_20190418_140346_model_3,700,0.366027069,0.60500171,0.366027069,0.380494006,0.145760602,1
GBM_grid_1_AutoML_20190418_140346_model_4,1000,2.116499518,1.454819411,2.116499518,1.015798419,0.34642686,1
GBM_grid_1_AutoML_20190418_142243_model_1,333,0.346634573,0.588756803,0.346634573,0.324907165,0.130058582,1
GBM_grid_1_AutoML_20190418_142243_model_2,500,0.299006351,0.546814732,0.299006351,0.277485442,0.124462731,1
GBM_grid_1_AutoML_20190418_142243_model_3,700,0.669109954,0.817991414,0.669109954,0.562709251,0.235983789,1
GBM_grid_1_AutoML_20190418_144229_model_1,333,0.257203309,0.507152155,0.257203309,0.265712914,0.109353001,1
GBM_grid_1_AutoML_20190418_144229_model_2,500,0.26124426,0.511120592,0.26124426,0.226595351,0.102857598,1
GBM_grid_1_AutoML_20190418_144229_model_3,700,0.30380045,0.55118096,0.30380045,0.339985238,0.124596898,1
GBM_grid_1_AutoML_20190418_144229_model_4,1000,0.271185784,0.520755013,0.271185784,0.304632273,0.118697882,1
GBM_grid_1_AutoML_20190418_144229_model_5,1300,1.1034995,1.050475844,1.1034995,0.726419836,0.28621983,1
GBM_grid_1_AutoML_20190418_150256_model_1,333,0.266909782,0.516633121,0.266909782,0.303351054,0.105380521,1
GBM_grid_1_AutoML_20190418_150256_model_2,500,0.363027947,0.602518005,0.363027947,0.384789651,,1
GBM_grid_1_AutoML_20190418_150256_model_3,700,0.301511606,0.549100725,0.301511606,0.334443858,0.126039175,1
GBM_grid_1_AutoML_20190418_150256_model_4,1000,0.328891198,0.573490364,0.328891198,0.286383211,,1
GBM_grid_1_AutoML_20190418_150256_model_5,1300,0.267745533,0.517441333,0.267745533,0.245371705,0.112649253,1
GBM_grid_1_AutoML_20190418_150256_model_6,1500,1.747422906,1.321901247,1.747422906,0.923744332,0.327994203,1
GBM_grid_1_AutoML_20190418_150256_model_7,2000,1.982985158,1.408185058,1.982985158,0.983780597,0.340095753,1
